Country,Male cancer cases ,Male cancer rate,Female cancer cases ,Female cancer rate,,,
Palestine,"2,506",165.5,"2,524",142.6,,,
Panama,"4,156",158.3,"4,197",154.3,,,
Papua New Guinea,"5,389",181.7,"6,801",197.8,,,
Paraguay,"6,966",199.8,"6,817",187.6,,,
Peru,"33,724",164.6,"39,103",185.7,,,
Philippines,"83,064",184.6,"105,912",192.5,,,
Poland,"109,365",307,"99,535",233.6,,,
Portugal,"37,865",342.7,"31,702",258.5,,,
Puerto Rico,"7,486",266.6,"6,292",199.7,,,
Qatar,"1,093",70.7,640,119.7,,,
Romania,"57,311",330.8,"47,350",238.1,,,
Russia,"301,496",288.5,"334,064",230.8,,,
Rwanda,"3,287",91.7,"3,835",79.7,,,
Saint Lucia,265,199.3,183,136.6,,,
Samoa,191,242.1,209,246.3,,,
Sao Tome and Principe,77,124.5,67,90.3,,,
Saudi Arabia,"14,745",81,"13,368",100.4,,,
Senegal,"4,270",99,"7,571",126.9,,,
Serbia,"22,910",289.9,"19,129",219.6,,,
Sierra Leone,874,39.3,"1,044",34.7,,,
Singapore,"13,342",235.9,"11,908",231,,,
Slovakia,"16,698",346.8,"14,215",238,,,
Slovenia,"7,838",343.7,"6,564",275.5,,,
Solomon Islands,279,114.8,405,154.4,,,
Somalia,"3,998",95.4,"6,683",145.9,,,
South Africa,"52,379",232.4,"58,942",190.4,,,
South Korea,"128,045",252.5,"109,656",228.5,,,
South Sudan,"2,857",89.8,"4,017",109.7,,,
Spain,"158,410",319.9,"120,319",238,,,
Sri Lanka,"15,733",110.6,"17,510",106,,,
Sudan,"11,326",80.6,"17,260",109.7,,,
Suriname,571,195,548,154.8,,,
Sweden,"37,869",334.8,"31,392",289.1,,,
Switzerland,"31,996",329.9,"26,334",260.2,,,
Syria,"10,179",142.7,"11,747",136.9,,,
Tajikistan,"2,949",92.7,"3,518",92,,,
Tanzania,"18,215",132.8,"26,716",151.1,,,
Thailand,"90,333",161.6,"93,208",150.6,,,
Togo,"2,396",105.4,"3,095",111.1,,,
Trinidad and Tobago,"1,969",195.5,"1,962",182.1,,,
Tunisia,"11,441",159.4,"9,110",115.3,,,
Turkey,"132,476",273.7,"107,537",192.2,,,
Turkmenistan,"3,047",128.8,"3,760",121.4,,,
Uganda,"15,459",156.2,"20,509",157.7,,,
Ukraine,"75,825",236.4,"79,414",182.1,,,
United Arab Emirates,"2,607",86.4,"2,919",157.8,,,
United Kingdom,"242,245",327.7,"212,709",292.5,,,
United States,"1,283,898",401.7,"1,096,291",341.7,,,
Uruguay,"8,579",322.3,"8,238",253.2,,,
Uzbekistan,"16,035",112.9,"19,865",114.6,,,
Vanuatu,105,94,145,121.7,,,
Venezuela,"31,374",201.6,"31,573",174.5,,,
Vietnam,"95,358",177.1,"85,122",132.3,,,
Yemen,"7,213",77.8,"9,312",89.2,,,
Zambia,"6,433",162.6,"8,863",164.8,,,
Zimbabwe,"6,505",202.5,"11,220",220.5,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
